key,de,en,comment
,,,
app_notice_logged_out,Sie haben sich abgemeldet.,You have logged out.,
authentication_groups,Systemgruppen,System Groups,
batch_add_to_collection_hint,Nach Sets suchen zu denen Sie die Einträge hinzufügen möchten.,Nach Sets suchen zu denen Sie die Einträge hinzufügen möchten.,
batch_add_to_collection_post, Einträge zu Set hinzufügen, entries to set,
batch_add_to_collection_pre, , Add ,
batch_meta_data_edit,Metadaten für %{media_entry_count} Einträge gleichzeitig editieren,Edit metadata for %{media_entry_count} entries at once.,TODO_cleanup_interpolation
btn_delete_confirm_msq,"Sind Sie sicher, dass Sie diesen Inhalt löschen wollen?",Are you sure you want to delete this item?,
btn_delete_text,Löschen,Delete,
btn_publish_confirm_msg,"Sind Sie sicher, dass Sie diesen Inhalt sichern wollen?",Are you sure you want to publish this item?,
btn_publish_text,Speichern,Save,
collection_ask_delete_question_pre,"Sind Sie sicher, dass Sie folgendes Set löschen möchten: ",Are you sure that you want to delete the following set:,
collection_ask_delete_title,Set löschen,Delete Set,
collection_delete_success,Set wurde gelöscht.,Set deleted.,
collection_edit_cover_submit_btn,Auswahl speichern,Submit,
collection_edit_cover_submit_btn,Speichern,Submit,
collection_edit_cover_title,Titelbild für Set festlegen,Define Set Cover,
collection_edit_highlights_btn,Auswahl speichern,Submit,
collection_edit_highlights_btn,Bearbeiten,Edit,
collection_edit_highlights_title,Inhalte hervorheben,Highlight Contents,
collection_edit_permissions_btn,Speichern,Submit,
collection_edit_permissions_btn,Speichern,Submit,
collection_media_resources_title,Medieneintrag im Set:,Media Entries in Sets:,
collection_new_cancel,Abbrechen,Cancel,
collection_new_create_set,Set erstellen,Create Set,
collection_new_dialog_title,Set erstellen,Create Set,
collection_new_flash_successful,Set wurde erstellt.,Set was created.,
collection_new_flash_title_needed,Titel ist ein Pflichtfeld.,Title is a mandatory field.,
collection_new_header,Neues Set,Create Set,
collection_new_label_title,Titel,Title,
collection_permissions_btn,Zugriffsberechtigungen ändern,Permissions,
collection_resource_selection_cancel,Abbrechen,Cancel,
collection_resource_selection_h_author,Autor/in,Author,
collection_resource_selection_h_date,Datierung,Dating,
collection_resource_selection_h_keywords,Schlagworte,Keywords,
collection_resource_selection_h_responsible,Rechteinhaber,Owner,
collection_resource_selection_h_selection,Auswahl,Selection,
collection_resource_selection_h_subtitle,Untertitel,Subtitle,
collection_resource_selection_h_title,Titel,Title,
collection_resource_selection_save,Auswahl speichern,Save selection,
collection_select_collection_flash_result,Set aus %{removed_count} Set(s) entfernt. Zu %{added_count} Set(s) hinzugefügt.,Removed set from %{removed_count} set(s). Added set to %{added_count} set(s).,TODO_cleanup_interpolation
collection_tab_main,Set,Set,
collection_was_disfavored,Das Set wurde von den Favoriten entfernt.,Set was removed from favorites.,
collection_was_favored,Das Set wurde zu den Favoriten hinzugefügt.,Set was added to favorites.,
dashboard_create_collection_btn,Set erstellen,Create Set,
dashboard_create_collection,Set erstellen,Create set,
dashboard_create_media_entry_btn,Medien importieren,Upload Media,
dashboard_title_head,Mein Archiv,My Archive,
dashboard_welcome_msg,Willkommen im Medienarchiv der Künste!,Welcome to Madek!,
external_groups,Abteilungsgruppen,Division groups,
group_delete_confirm_msg,"Sind Sie sicher, dass Sie diese Arbeitsgruppe löschen wollen?",Are you sure you want to delete this work group?,
group_edit_btn,Bearbeiten,Edit,
group_edit_form_new_member_login_hint,Login des neuen Mitglieds dieser Gruppe,New group member login,
group_edit_form_new_member_login_label,User hinzufügen,Add a member,
group_edit_form_save_btn,Speichern,Save,
group_edit_form_title_pre,Arbeitsgruppe bearbeiten: ,Edit Group: ,
group_meta_data_institutional_group_name,Name der Abteilungsgruppe,Division group name,
group_meta_data_name,Name,Name,
group_new_form_title,Neue Arbeitsgruppe erstellen,Create Group,
group_new_group_btn,Neue Arbeitsgruppe,New Work Group,
group_toolbar_header_entrusted_resources,Mir anvertraute Medieneinträge,Entrusted Media Entries,
internal_groups,Arbeitsgruppen,Work groups,
login_box_author, ,,
login_box_cite,Das Medienarchiv der Künste ist die Plattform der ZHdK zum gemeinschaftlichen Arbeiten mit Medien und Teilen von Inhalten.,The Media Archive of the Arts is ZHdK’s plattform for collaborative working with media.,
login_box_external,ZHdK-Login,ZHdK Login,
login_box_hint_first_line,Alle Funktionen nutzen und auf mehr Inhalte zugreifen.,For using of all function and access to more content.,
login_box_hint_second_line, ,,
login_box_internal,Externe,External,
login_box_login_btn,Anmelden,Log In,
login_box_rememberme,Login merken,remember me,
login_box_title,Digitales Areal ZHdK,Digital Area ZHdK,
media_entry_ask_delete_question_pre,"Sind Sie sicher, dass Sie folgende Eintrag löschen möchten: ",Are you sure that you want to delete the following media entry:,
media_entry_ask_delete_title,Eintrag löschen,Delete Entry,
media_entry_back_btn,Zurück,Back,
media_entry_delete_success,Medieneintrag wurde gelöscht.,Media entry deleted.,
media_entry_export_close,Schliessen,Close,
media_entry_export_download,Download,Download,
media_entry_export_has_no_original,Sie verfügen nicht über die nötigen Berechtigung für den Download der Originaldatei.,You are not allowed to download the original file.,
